------------------------------------------------
--- Create Proof--------------------------------
Method      Dep Count     Median Time  Samples
ozks              142         341920.0       20
ozks              143         342589.0       10
ozks              145         345266.5       10
ozks              146         350700.0        5
ozks              149         352567.0        5
ozks              158         377096.0        5
ozks              163         384549.0        5
ozks              165         394009.0        5
ozks              167         399103.0       15
ozks              176         417784.0        5
ozks              178         424253.0       30
ozks              183         436466.0        5
ozks              185         445808.0        5
ozks              186         448428.0        5
ozks              187         444441.0        5
ozks              188         447587.0        5
ozks              189         450388.0        5
ozks              190         453013.0        5
ozks              191         457155.0       10
ozks              206         491218.0       45
ozks              222         525956.0       10
ozks              223         528041.0        5
ozks              224         532685.5       10
ozks              228         543790.0        5
ozks              229         548115.0        1
ozks              230         550748.0        4
ozks              236         566757.0       10
ozks              237         567753.0        1
ozks              238         570386.0        4
ozks              249         597494.5       10
ozks              250         590704.0        5
ozks              261         616152.0        5
ozks              264         630878.0       10
ozks              268         639710.0        5
ozks              273         647711.0        5
ozks              288         692626.0       11
ozks              289         693993.0        4
ozks              291         694829.5       10
ozks              293         695433.0        5
ozks              298         703144.0        5
ozks              300         721137.0        5
ozks              301         723589.0        5
ozks              323         781269.0        5
ozks              324         771632.0        5
ozks              325         773717.0       20
ozks              326         776154.0       25
ozks              330         783662.0        5
ozks              336         797710.0        5
ozks              340         812217.0        5
ozks              341         816580.0        5
ozks              348         837033.0        5
ozks              350         835691.0        5
ozks              355         844268.0        5
ozks              360         856954.0        5
ozks              371         891845.0        5
ozks              382         914885.0        5
ozks              383         923471.0        5
ozks              396         939104.0        5
ozks              401         959530.0        5
ozks              404         957747.0        5
ozks              414         988495.0        5
ozks              418         987104.0       15
ozks              429        1025061.0        5
ozks              434        1028608.0       10
ozks              436        1038832.0        5
ozks              438        1050097.0        5
ozks              439        1052194.0        5
ozks              444        1064018.0        4
ozks              459        1091162.0        5
ozks              492        1177041.0        5
ozks              495        1187212.0        5
ozks              561        1344295.0        5
ozks              591        1403942.0        5
ozks              601        1439249.0        5
ozks              698        1653401.0        5
ozks              709        1695425.0        5
ozks              732        1750415.0        5
ozks              739        1767009.0        5
ozks              771        1847348.0        5
ozks              774        1855925.0        5
ozks              778        1872890.0        5
ozks              786        1892177.0        5
ozks              939        2241244.0       10
ozks             1085        2589205.0        5
ozks             1099        2623882.0        5
ozks             1109        2650459.0        5
ozks             1122        2664016.0       10
ozks             1123        2666630.0       15
ozks             1197        2857434.0        5
ozks             1312        3127043.0        5
ozks             1335        3193929.0       15
ozks             1636        3890162.0        5
ozks             1637        3892429.0       15
ozks             1639        3897301.0       15
ozks             1640        3899920.0        5
ozks             1641        3902356.0       20
ozks             1647        3916268.0        5
ozks             1648        3918352.0        5
ozks             1658        3943088.0       10
ozks             1708        4074586.0        5
ozks             1716        4083399.0       15
ozks             2167        5201819.0        5
ozks             2168        5204262.0       10
ozks             2505        5996525.0        5
ozks             2925        6986563.0        5
ozks             3110        7423766.0       15
ozks             3710        8893410.0        5
ozks             4098        9693492.0        5
ozks             8209       19520637.0        5
% ozks
